ID,Nazwa,Rzeka,Szerokość geograficzna,Długość geograficzna,Wysokość n.p.m.,geometry,index_right
250190780,BĘDKOWICE,,50 10 45,19 46 10,434,POINT (19.769444444444442 50.17916666666667),0
249201050,KRÓLÓWKA,,49 53 14,20 26 00,291,POINT (20.433333333333334 49.88722222222222),0
249210280,KUNKOWA,,49 33 02,21 07 36,420,POINT (21.12666666666667 49.550555555555555),0
250190260,GOLCZOWICE,,50 21 36,19 35 45,324,POINT (19.59583333333333 50.36),0
249190970,SIDZINA,,49 37 10,19 43 37,546,POINT (19.72694444444444 49.61944444444445),0
250190790,CHRZANÓW,,50 06 45,19 22 36,251,POINT (19.37666666666667 50.112500000000004),0
249210370,ROPICA GÓRNA,,49 35 46,21 13 53,356,POINT (21.231388888888887 49.596111111111114),0
249190980,SUCHA BESKIDZKA,,49 45 14,19 36 21,324,POINT (19.605833333333333 49.75388888888889),0
249201060,TYLMANOWA,Ochotnica,49 31 05,20 23 15,404,POINT (20.3875 49.518055555555556),0
249210420,SMEREKOWIEC,Ropa,49 25 01,21 12 13,560,POINT (21.203611111111112 49.41694444444444),0
